"vxo","gdp","consumption","investment","hrsworked","gdpdefl","m2money"
2.57702456628559,0.995404069644928,0.734874354213184,0.260528939454552,0.324512502237264,1.00500036484604,1.01108832899643
2.39556477494856,0.996182931177512,0.734834571525299,0.26134649180247,0.324665295634471,1.00498416452856,1.01119971042844
2.46654776672524,0.995997062575962,0.733959687648581,0.26203576730535,0.325023537091045,1.00506685219514,1.01112951346612
3.18172402040278,0.994497930534246,0.732537776067321,0.261957407877012,0.32478897806298,1.00486413535206,1.01055864876612
3.31293196988956,0.993876254481633,0.731296512833955,0.262574476930949,0.324737955115032,1.0046609157817,1.01042964494588
2.48521484875385,0.997025513998894,0.73246990482371,0.264543230484329,0.324927613890585,1.00457561751681,1.01106412413245
3.44771114597671,0.996746151807508,0.730939274173857,0.265798655737747,0.325090857076613,1.00448326334437,1.01023019084766
3.60588892238563,0.994610989905995,0.733514120439175,0.261096289534042,0.324179980381711,1.00470681067752,1.01019208559904
3.09927932743627,0.996989542272745,0.729290819831142,0.267688550078988,0.325480017544175,1.00432406892238,1.01052655709175
3.49563040851997,0.99681607290011,0.730444896324762,0.266368099333519,0.325199945143077,1.00444359000049,1.01019108490025
3.61151969387052,0.996210348013235,0.729671324664161,0.266537063440215,0.325289179654329,1.0044235726421,1.01007367747077
3.19444285839091,0.99473909047145,0.732602496168375,0.262137005598636,0.324847113057745,1.00488145216468,1.01058957460088
2.30809861529469,0.996245105015575,0.733585059942022,0.262660403916483,0.325006074863164,1.0049316873462,1.01126725640482
1.59447685469852,0.997806056334145,0.733235324559284,0.264575984126218,0.32585759109388,1.00517172205209,1.01163968566301
1.96270634187187,0.998831024153829,0.733697804297947,0.265133992551574,0.325758581553822,1.00510066804495,1.01142529047778
2.60976863550775,0.998116618909521,0.732088965266521,0.266030061866716,0.325993387482296,1.00504633048303,1.01099148491556
3.26017283137671,0.996562075660648,0.731058767728868,0.265503099254592,0.325571790554944,1.00480517627654,1.0104584806375
2.96201123655509,0.997992007012668,0.73197268877517,0.266010780685785,0.325212896968984,1.00456534255785,1.01070136726699
2.65047969040496,0.999250946332181,0.732754892135209,0.266493463446716,0.325521824823907,1.00474938647073,1.01094334151901
3.43449812706352,0.99796573344584,0.731283519182962,0.266681473048666,0.325475469662289,1.00464040120229,1.01026415876033
4.00874063848165,0.995848527955596,0.730634963392569,0.265211004697546,0.324770373971481,1.00437167304234,1.0096903418728
3.32190982675627,0.998326421427631,0.730475077810021,0.267841649006311,0.325118398099868,1.00418916108168,1.01034392415355
3.21783963565712,0.999460377425847,0.730221361484875,0.269237304709534,0.32577641065952,1.00441165308372,1.010407920597
2.59002283033723,1.00498226537771,0.72722587101282,0.277726013271351,0.327259808827681,1.00402266828602,1.01070530343056
2.13209896914564,1.00920346812115,0.72826444405158,0.280919433886921,0.328259516930056,1.00433914007111,1.01091967913374
1.94119724021684,1.01078512580681,0.728090815096901,0.282693807569211,0.329263616838979,1.00473701008028,1.01099087262647
2.85801728584404,1.01024008702293,0.728462792945022,0.281768809564329,0.328734745033268,1.00460546795319,1.01036001092082
3.129368137282,1.00853310659563,0.729620392972382,0.278910890118095,0.328084168126498,1.00465306913652,1.01019846695528
3.43268819897648,1.0069633600737,0.726986447679889,0.279971591105527,0.328251253861082,1.00442491424199,1.00988135999901
2.62625360870572,1.0071698216942,0.72971790148819,0.27745020742082,0.327927822595912,1.00468150420155,1.01062859045143
2.54654004774967,1.00731121223098,0.730933422165646,0.276379745156822,0.327682200450309,1.00474730194517,1.01071500687336
2.39921201580284,1.00777125157795,0.731436880593623,0.276334038458857,0.327659329049554,1.00476653346803,1.01080768887298
2.90279662943788,1.00647842360657,0.730502717152541,0.275974682713473,0.327634343218639,1.00474824058575,1.01042560585042
2.63714935338778,1.00714670341191,0.730581733983543,0.276556771733807,0.327548030620335,1.00460417904251,1.01060326146519
3.12201719615658,1.00740457645216,0.731313721258712,0.276078975223684,0.326975728329134,1.00439842186263,1.01020854165192
2.73049808299499,1.00924476943582,0.731913295710463,0.277317299845375,0.327147297254616,1.00437700651496,1.01049533646898
3.03895567365027,1.01007805788069,0.731908399289654,0.278156230426204,0.32718241588064,1.00432481762247,1.0102126748587
2.85169911130711,1.01128887990203,0.73488957643181,0.276389026638872,0.326590100183213,1.00439923153301,1.01040103545282
1.86828355098483,1.01366385516159,0.735961371982338,0.27769714186503,0.327198083216175,1.00465550409904,1.01102534826304
3.00365880030538,1.01276364472827,0.734262058447485,0.278502287901867,0.327313642702839,1.00456364859197,1.01022606571913
3.06974856494159,1.0101031252714,0.736935237563181,0.273173444575485,0.326397514641623,1.00484497676636,1.01029885440571
2.89325498286922,1.0072460869624,0.738151478537469,0.269099374991329,0.325808389616141,1.00503728728881,1.01055004879112
3.20579421768195,1.00674177356965,0.733777193626822,0.272959959184533,0.326185095532252,1.00446536404938,1.01015673472829
2.54279699154182,1.00775870789619,0.731833288335523,0.275923356375143,0.32726760694178,1.0045756805886,1.01063228442749
2.22595163320066,1.00962751639135,0.732582243343697,0.277035971576028,0.327407992560127,1.0045726164512,1.01079822412779
3.51816419233948,1.00723708293326,0.730489846960023,0.276741879655433,0.327270737065706,1.00444650471577,1.00974797907784
3.23133029274651,1.00809539148906,0.728063598362665,0.280016014865135,0.327792705833877,1.00414058765582,1.00994088779873
3.21481730690321,1.00853557967297,0.729156099572112,0.279367732810722,0.327637421805861,1.00421008261365,1.00996197133061
3.0154101224917,1.0079092788771,0.730675071823585,0.277232854547748,0.327520157216729,1.0045013961539,1.01018940573764
